species	abbrv	kingdom	size	range	pred_pi	obs_pi	impact_of_sel	log10_size	log10_range	neut_model_conf	num_chr	map_length	totalMb_covered	ave_rec	genome_species	assembly_size	genome_size	selfing	self_est
Anopheles gambiae	agam	Animalia	0.0029200000000000003	12617174.6041706	0.0336432942606259	0.0301483021842445	0.103883765047103	-2.53461714855158	7.10096211313345	low	2	1.661	38	0.8365315430007131	Anopheles gambiae	265011681	0.27	FALSE	"NA"
Apis mellifera	amel	Animalia	0.015	6879080.97149576	0.00667240760626176	0.0062249314872774904	0.06706366657881249	-1.82390874094432	6.83753042142327	med	NA	41.145	NA	NA	NA	NA	NA	NA	NA
Arabidopsis thaliana	atha	Plantae	0.135	12101555.7554881	0.009170871824296151	0.0031516300409689703	0.656343464247375	-0.8696662315049941	7.08284120606779	low	5	4.225	666	3.6030927822742997	Arabidopsis thaliana	119146348	0.16	TRUE	0.98999999999999999
Brachypodium distachyon	bdis	Plantae	0.15	8677559.9906804	0.00438024895998407	0.00267070036637202	0.390285714175084	-0.8239087409443191	6.93839762476712	low	5	15.98	556	6.01348055256947	Brachypodium distachyon	271923306	0.36	TRUE	0.98999999999999999
Bombyx mandarina	bmor	Animalia	0.04	1514636.62684628	0.0292143025612997	0.0276330106765374	0.0541273193650375	-1.39794000867204	6.18030845469703	low	NA	14.13	NA	NA	NA	NA	NA	NA	NA
Bos taurus	btau	Animalia	1.5	377800	0.0011739944108647901	0.0012129503490739102	0	0.17609125905568102	5.57726195358581	med	29	30.97366	5499	1.26304440926021	Bos taurus	2670405961	3.65	FALSE	"NA"
Caenorhabditis briggsae	cbri	Animalia	0.0011500000000000002	63860678.8303404	0.0033467428120063504	0.00154559564878465	0.5381791384626671	-2.93930215964639	7.80523353071931	low	5	4.844527	166	6.13822501209931	Caenorhabditis briggsae	108384165	0.12	TRUE	0.98999999999999999
Citrus reticulata	ccle	Plantae	5	331210	0.0146227141257328	0.0149627214561754	0	0.6989700043360191	5.52010344067098	high	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caenorhabditis elegans	cele	Animalia	0.0011500000000000002	76896886.30501	0.00542422516398884	0.0020995351326019503	0.612933632154384	-2.93930215964639	7.88590875478284	low	5	2.3328700000000002	5220	2.83413845735893	Caenorhabditis elegans	100272607	0.1	TRUE	0.98999999999999999
Citrullus lanatus	clan	Plantae	3	2681693.15254671	0.00396221300636048	0.0024109746659941	0.39150806326570603	0.47712125471966205	6.42840908306831	med	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canis lupus	clup	Animalia	1.06	47713282.6340329	0.0018840243073340102	0.0014913104212410302	0.208444171640593	0.0253058652647703	7.67863929668478	low	38	20.848000000000003	3065	0.9703849213551551	Canis lupus familiaris	2410960148	2.81	FALSE	"NA"
Capsella rubella	crub	Plantae	0.577	2729825.65179217	0.0121510173660116	0.0032660636866693703	0.731210680695339	-0.238824186844269	6.43613491045375	low	8	3.8182633647	877	3.21595887311511	Capsella rubella	134835427	0.22	TRUE	1-0.7 (maximum likelihood at 1)
Cucumis sativus	csat	Plantae	2	317094.851731686	0.0138583574534025	0.0132098956743494	0.0467921094713781	0.30102999566398103	5.50118919099375	med	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cynoglossus semilaevis	csem	Animalia	0.5710000000000001	1130000	0.00709880645826389	0.00640178383438718	0.09818870650647049	-0.24336389175415202	6.05307844348342	low	21	16.204	352	4.25500500215174	Cynoglossus semilaevis	470182763	0.62	FALSE	"NA"
Drosophila melanogaster	dmel	Animalia	0.0015400000000000001	16862937.5798404	0.0130820548394477	0.008718015469868771	0.333589747416406	-2.81247927916354	7.22693323242314	low	4	1.0546084999999998	969	1.09452095074309	Drosophila melanogaster	139465864	0.18	FALSE	"NA"
Drosophila pseudoobscura	dpse	Animalia	0.002	4081202.67337432	0.0120686502571749	0.008720102115547511	0.27745837937731704	-2.69897000433602	6.61078816246318	low	1	NA	141	1.7769789685747601	Drosophila pseudoobscura	152696384	0.16333333333333336	FALSE	"NA"
Danio rerio	drer	Animalia	0.025	802235.283701715	0.0102324679026468	0.009173960860790491	0.10344591861192301	-1.6020599913279598	5.90430175909162	low	25	21.773629999999997	1706	1.6137816789211001	Danio rerio	1412448247	1.7525	FALSE	"NA"
Equus ferus przewalskii	ecab	Animalia	1.36	13413718.5652858	0.0035413912065319704	0.0036260777468777403	0	0.133538908370218	7.12754919011962	med	NA	20	NA	NA	NA	NA	NA	NA	NA
Ficedula albicollis	falb	Animalia	0.1275	1292065.48887463	0.00392346779679009	0.0038009968899166803	0.0312149642144656	-0.894489815230026	6.11128452661269	low	32	31.320610000000002	3996	3.24065054958299	Ficedula albicollis	1118326800	1.3044444444444445	FALSE	"NA"
Gasterosteus aculeatus	gacu	Animalia	0.05	10932006.6629691	0.0054592403680432606	0.00440938183871307	0.192308537186921	-1.30102999566398	7.03869988771966	low	21	12.511609277	1872	3.1137123613754	Gasterosteus aculeatus	463349471	0.64	FALSE	"NA"
Gallus gallus	ggal	Animalia	0.7	4150243	0.0053287387671501	0.00588359552053694	0	-0.15490195998574302	6.61807352574089	low	28	28.676	8349	3.1486092544282	Gallus gallus	1046915324	1.25	FALSE	"NA"
Glycine soja	gmax	Plantae	0.9144	746662.351431524	0.0031741038842944104	0.00273673479730597	0.137792933984473	-0.0388637826127747	5.87312425367491	med	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gossypium raimondii	grai	Plantae	1.5	2465.14126980311	1.1717358483627801e-4	1.17471716213813e-4	0	0.17609125905568102	3.39184181243189	med	13	14.933	433	2.04971450838414	Gossypium raimondii	761407154	0.9	TRUE	0.97999999999999998
Heliconius melpomene	hmel	Animalia	0.02	1407075.25916673	0.0223290821457228	0.0185141113935412	0.17085210790504302	-1.69897000433602	6.1483173268354	low	NA	NA	NA	NA	NA	NA	NA	NA	NA
Homo sapiens	hsap	Animalia	1.65	20232960	0.0011497159762656902	0.00103745770978471	0.0976399987461233	0.21748394421390602	7.30605942294032	low	22	31.799563005	276215	1.19071999919365	Homo sapiens	3101788170	3.5	FALSE	"NA"
Lepisosteus oculatus	locu	Animalia	0.46	2139592.88727786	0.00620792829600042	0.00618401913705004	0.00385139096496712	-0.337242168318426	6.33033114548531	low	29	29.23736	2820	3.33036154499458	Lepisosteus oculatus	945861706	1.4	FALSE	"NA"
Meleagris gallopavo	mgal	Animalia	1.125	1036227.7120108	0.00234774905322667	0.0023715410864986303	0	0.0511525224473813	6.01545520251628	med	27	21.579	471	2.49300152121962	Meleagris gallopavo	1061800384	1.4633333333333336	FALSE	"NA"
Macaca mulatta	mmul	Animalia	0.54	3249193.41499522	0.00308649721375029	0.0028670640132188504	0.0710945726935599	-0.267606240177031	6.51177556439669	low	20	24.739	274	1.08485593381464	Macaca mulatta	3097370727	3.365	FALSE	"NA"
Mus musculus castaneus	mmus	Animalia	0.22	8117236.66520893	0.00887919246171713	0.00809064978269882	0.0888079273445341	-0.657577319177794	6.90940820839114	low	NA	NA	NA	NA	NA	NA	NA	NA	NA
Medicago truncatula	mtru	Plantae	0.17500000000000002	3078930.55984125	0.0146255075036719	0.005142683557407141	0.648375719193607	-0.756961951313706	6.48839989422381	low	8	5.567	540	2.10396640184481	Medicago truncatula	314353944	0.48	TRUE	0.98999999999999999
Ovis canadensis	oari	Animalia	1.57	3663243.29419028	0.0021159657305198803	0.0022177120351231402	0	0.19589965240923402	6.56386576327702	med	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oryzias latipes	olat	Animalia	0.021	167142.302866677	0.0034100047404882904	0.00304076176792202	0.108282246115997	-1.67778070526608	5.22308638152985	med	24	14.269300000000001	2142	1.99525742496878	Oryzias latipes	869801494	1.08	FALSE	"NA"
Oryza rufipogon	osat	Plantae	2	6266176.79906236	0.007519347326813421	0.0063571625441817305	0.15455926320725	0.30102999566398103	6.79700264426001	med	NA	NA	NA	NA	NA	NA	NA	NA	NA
Papio anubis	panu	Animalia	1.05	5592032.86229625	0.0018133073632536501	0.0018918139038842999	0	0.0211892990699381	6.74756971493219	med	21	24.221	242	1.09724002836305	Papio anubis	2948380710	3.53	FALSE	"NA"
Prunus davidiana	pper	Plantae	6.09	2063521.77352481	0.0154924934758873	0.009883405130760472	0.362052006273676	0.784617292632875	6.31460905575368	med	NA	NA	NA	NA	NA	NA	NA	NA	NA
Populus trichocarpa	ptri	Plantae	30.48	2863675.20864497	0.0032555867753409503	0.0031675811212271998	0.0270321942515365	1.48401496266756	6.4569237597629	med	19	28.015	411	7.83638001056187	Populus trichocarpa	434136308	0.49	FALSE	"NA"
Sorghum bicolor	sbic	Plantae	1.22	11859594.8472785	0.00294778312420537	0.0024874113876036403	0.156175579139945	0.0863598306747482	7.0740698527216	med	NA	NA	NA	NA	NA	NA	NA	NA	NA
Setaria italica	sita	Plantae	1.52	5669493.05447552	0.006156649515667831	0.0023274067278458103	0.6219686175211241	0.181843587944773	6.75354422759013	low	9	14.15923	983	3.57138673723277	Setaria italica	405737677	0.53	TRUE	0.95999999999999996
Sus scrofa	sscr	Animalia	1.35	22703604.7216943	0.00464866163635456	0.00440820881243972	0.0517251722591282	0.130333768495006	7.35609481694879	low	18	16.038745458277003	2365	0.6687844788035141	Sus scrofa	2808509378	2.81	FALSE	"NA"
Zea mays	zmay	Plantae	2.44	90898.7252503948	0.0142586699472965	0.0138592450874925	0.028012771266911398	0.38738982633872904	4.95855779278631	high	NA	NA	NA	NA	NA	NA	NA	NA	NA
