species	kingdom	family	RS	range	size	eoo_km2	D_proxy
Agelaius phoeniceus	Animalia	Icteridae	59865113.218271896	13170324.908019817	0.22	18200000	0.6575773191777938
Anas platyrhynchos	Animalia	Anatidae	31770045.94205892	18560060.839350823	0.5842	65800000	0.23343844736246902
Coturnix japonica	Animalia	Phasianidae	63156520.51771301	12283943.24069518	0.1945	6780000	0.7110803943382735
Cyanistes caeruleus	Animalia	Paridae	58259926.57182842	6991191.18861941	0.12	16600000	0.9208187539523752
Danio rerio	Animalia	Cyprinidae	66066610.14047533	1734248.5161874776	0.026250000000000002	1083000	1.5808706922580242
Dasypus novemcinctus	Animalia	Dasypodidae	26964294.48157113	18875006.13709979	0.7	19100000	0.1549019599857432
Daubentonia madagascariensis	Animalia	Daubentoniidae	177689.1351392539	72212.86452059278	0.4064	523499	0.39104630072413715
Eudyptes moseleyi	Animalia	Spheniscidae	12201.981714343618	6711.08994288899	0.55	1840000	0.2596373105057561
Eulemur coronatus	Animalia	Lemuridae	311810.4863765562	108447.68716176625	0.3478	12953	0.4586704223333063
Eulemur mongoz	Animalia	Lemuridae	105574.74831929283	61917.478394298865	0.58648	17953	0.23174679350197017
Ficedula albicollis	Animalia	Muscicapidae	22439472.505390707	2861032.744437315	0.1275	1260000	0.894489815230026
Ficedula hypoleuca	Animalia	Muscicapidae	64037332.6911979	8295396.076817775	0.12954	5580000	0.8875961072821257
Gallus gallus	Animalia	Phasianidae	27753875.25318088	18317557.66709938	0.6599999999999999	33900000	0.1804560644581314
Haplochromis chilotes	Animalia	Cichlidae	299801.1548790235	44370.570922095474	0.148	68800	0.8297382846050426
Haplochromis sauvagei	Animalia	Cichlidae	542686.9892519607	56982.133871455866	0.105	68800	0.978810700930062
Hyriopsis cumingii	Animalia	Unionidae	4495481.296615077	629367.3815261108	0.14	1250500	0.8538719643217619
Lates calcarifer	Animalia	Centropomidae	2925559.278193448	4388338.917290173	1.5	43886507	-0.17609125905568127
Lepus granatensis	Animalia	Leporidae	1258928.7347779498	577848.289263079	0.45899999999999996	614966	0.33818731446273875
Lynx lynx	Animalia	Felidae	7122065.132438687	6196196.665221658	0.87	42765298	0.06048074738138145
Macropus eugenii	Animalia	Macropodidae	146974.63929629762	88919.65677426006	0.605	486800	0.2182446253475311
Malurus melanocephalus	Animalia	Maluridae	24752847.102444902	2846577.416781164	0.115	4570000	0.9393021596463883
Meleagris gallopavo	Animalia	Phasianidae	5499867.3840008145	5817759.718796062	1.0578	11300000	-0.02440356268296566
Melospiza melodia	Animalia	Emberizidae	79412049.68144235	11497276.552879224	0.14478	24000000	0.8392914277075706
Microtus arvalis	Animalia	Cricetidae	122212734.85399747	13565613.56879372	0.111	15404866	0.9546770212133426
Microtus ochrogaster	Animalia	Cricetidae	45630702.178848185	5563295.209645171	0.12192	3901131	0.9139250460044748
Nothobranchius furzeri	Animalia	Aplocheilidae	598529.1490118032	38904.39468576721	0.065	37094	1.1870866433571443
Oryctolagus cuniculus	Animalia	Leporidae	38371110.079030946	16081332.234121868	0.4191	756308	0.3776823391661557
Oryzias latipes	Animalia	Adrianichthyidae	7959157.279365571	167142.302866677	0.021	755102	1.6777807052660807
Parus major	Animalia	Paridae	86265532.02746229	11430182.993638754	0.1325	89800000	0.8777841217271733
Peromyscus maniculatus	Animalia	Cricetidae	103041601.83247057	13757084.260653147	0.13351000000000002	20831240	0.874486204095885
Propithecus coquereli	Animalia	Indriidae	127606.1100186497	58890.21977360684	0.4615	27662	0.3358282946380691
Taeniopygia guttata	Animalia	Estrildidae	2957557.1346264645	308000	0.10414	308000	0.9823824266603264
Tupaia belangeri	Animalia	Tupaiidae	14600643.884191303	2591614.289443956	0.1775	4174836	0.7508016426088872
Varecia variegata	Animalia	Lemuridae	NA	NA	0.547	99202	0.26201267366656916
Zonotrichia albicollis	Animalia	Emberizidae	47244094.488188975	8040000	0.17018	8040000	0.7690914806792355
